accountNumber,merchantId,mcc,merchantCountry,posEntryMode,transactionAmount,availableCash,fraud,DayOfWeek,HourOfDay
310,13245,5541,36,5,10.95,1500,1,3,3
731,12311,5968,840,81,18.06,1500,1,5,13
731,22789,4814,826,1,11.0,1500,1,5,13
731,22789,4814,826,1,9.0,1500,1,5,13
731,16309,4816,840,81,0.0,1500,1,5,13
731,12311,5968,840,81,18.05,1500,1,5,13
731,7968,5655,840,1,0.74,1500,1,5,13
731,27596,5941,840,1,1.36,1500,1,5,13
731,7968,5655,840,1,5.9,1500,1,5,14
48,30042,3000,840,1,678.81,10500,1,6,5
531,29184,5945,826,81,34.95,9500,1,6,6
531,29184,5945,826,81,34.98,9500,1,6,9
702,28506,7011,40,81,57.75,6500,1,4,16
702,10977,4722,756,81,673.46,6500,1,2,5
531,12025,4814,826,1,51.0,9500,1,2,8
400,9398,7372,826,81,0.04,7500,1,1,15
552,22728,4816,840,81,0.05,2500,1,5,5
552,22728,4816,840,81,0.01,2500,1,5,6
258,28800,5997,840,1,2.18,8500,1,4,3
158,24317,6012,826,81,0.95,1500,1,0,22
466,30980,4814,826,81,1.01,500,1,3,11
466,30980,4814,826,81,0.99,500,1,3,11
512,324,5967,826,81,0.0,500,1,1,13
512,20613,5967,659,81,1.34,500,1,1,13
512,12358,5967,659,81,1.19,500,1,1,13
512,324,5967,826,81,26.28,500,1,5,15
176,4542,7277,826,1,79.0,11500,1,5,19
176,1258,5941,840,1,1.08,10500,1,5,20
176,31902,6300,826,1,43.63,11500,1,5,19
176,19229,4814,826,1,4.0,11500,1,5,19
176,4542,7277,826,1,21.0,11500,1,5,19
512,324,5967,826,81,26.19,500,1,6,12
421,4764,4814,826,1,3.0,500,1,6,10
176,29959,8220,826,81,22.95,11500,1,2,4
176,25826,5999,840,1,6.33,11500,1,2,4
231,10383,7311,840,81,4.62,7500,1,2,9
136,8423,7011,250,1,68.44,2500,1,3,22
490,18358,7375,196,81,8.31,1500,1,0,2
293,12395,7999,840,90,57.77,3500,1,2,18
9,29959,8220,826,81,15.55,8500,1,3,18
9,3136,5999,442,81,0.64,8500,1,1,12
198,30050,6011,826,5,99.0,1500,1,3,5
354,25713,6011,826,5,99.0,500,1,3,14
354,25713,6011,826,5,49.0,500,1,3,14
354,25713,6011,826,5,21.0,500,1,3,14
170,10222,5735,442,81,7.34,1500,1,5,2
170,10222,5735,442,81,7.15,1500,1,5,5
170,10222,5735,442,81,8.59,1500,1,5,6
170,10222,5735,442,81,6.99,1500,1,5,20
170,10222,5735,442,81,7.84,1500,1,6,3
124,23570,5967,826,81,24.04,2500,1,6,23
5,18558,7299,826,1,26.0,500,1,4,11
5,18558,7299,826,1,206.0,500,1,4,11
5,18558,7299,826,1,103.43,500,1,4,11
5,18558,7299,826,1,49.0,500,1,4,10
5,18558,7299,826,1,26.0,500,1,4,10
455,3324,5941,826,81,99.0,500,1,4,11
455,11255,5812,826,81,35.02,500,1,4,18
455,7368,5814,826,1,32.04,500,1,4,18
170,10222,5735,442,81,8.88,1500,1,2,22
422,12456,6011,826,5,131.0,500,1,3,16
422,12456,6011,826,5,99.0,500,1,3,16
422,12456,6011,826,5,49.0,500,1,3,16
422,12456,6011,826,5,21.0,500,1,3,16
86,22789,4814,826,1,11.0,500,1,5,18
86,1817,5651,840,1,3.39,500,1,5,18
170,852,5968,826,1,19.01,1500,1,5,19
170,10222,5735,442,81,7.59,1500,1,6,15
528,26398,5967,826,81,39.95,1500,1,0,6
176,15049,5719,826,81,1171.09,11500,1,3,7
170,10222,5735,442,81,8.18,1500,1,3,10
328,4886,8999,442,81,0.0,1500,1,1,5
328,24525,5735,826,81,10.01,1500,1,1,5
176,12897,5541,826,1,11.0,11500,1,1,6
176,4868,5651,840,1,2.26,11500,1,1,6
170,10222,5735,442,81,7.94,1500,1,5,23
528,26398,5967,826,81,50.05,1500,1,6,23
364,24048,5967,826,1,39.88,500,1,2,12
170,10222,5735,442,81,8.09,1500,1,3,10
528,26398,5967,826,81,29.92,1500,1,3,14
636,16518,5964,826,1,2.0,8500,1,1,12
636,3136,5999,442,81,0.63,7500,1,1,12
636,16454,8999,442,81,419.92,8500,1,1,12
500,19056,5967,826,81,2.0,500,1,5,0
500,29240,5967,826,81,2.0,500,1,5,1
500,22782,5967,659,81,1.39,500,1,5,1
368,18363,6300,380,1,850.83,7500,1,5,6
344,3025,5967,196,81,18.38,500,1,4,10
344,3025,5967,196,81,18.34,500,1,4,10
344,3025,5967,196,81,18.36,500,1,4,11
528,26398,5967,826,81,29.9,1500,1,0,2
714,32045,5499,840,81,214.13,2500,1,2,7
170,10222,5735,442,81,7.74,1500,1,2,23
170,10222,5735,442,81,7.02,1500,1,3,4
170,10222,5735,442,81,7.06,1500,1,1,1
170,10222,5735,442,81,7.87,1500,1,1,4
170,10222,5735,442,81,7.78,1500,1,1,4
170,10222,5735,442,81,8.0,1500,1,1,4
170,10222,5735,442,81,7.87,1500,1,1,16
170,10222,5735,442,81,7.89,1500,1,5,2
170,10222,5735,442,81,8.35,1500,1,5,3
170,10222,5735,442,81,7.02,1500,1,5,3
170,10222,5735,442,81,8.23,1500,1,5,6
170,10222,5735,442,81,8.37,1500,1,5,19
170,10222,5735,442,81,7.3,1500,1,5,19
170,10222,5735,442,81,7.78,1500,1,6,1
170,10222,5735,442,81,7.97,1500,1,6,1
364,14911,5967,826,1,29.96,500,1,6,2
345,24579,5734,826,1,25.53,7500,1,6,13
170,10222,5735,442,81,7.14,1500,1,4,2
170,10222,5735,442,81,7.02,1500,1,4,3
170,10222,5735,442,81,8.28,1500,1,4,21
170,10222,5735,442,81,7.94,1500,1,4,20
507,9195,5967,826,81,2.0,2500,1,3,22
507,9195,5967,826,1,32.7,2500,1,3,22
170,10222,5735,442,81,9.17,1500,1,1,4
509,16315,7995,292,81,441.0,8500,1,5,19
509,16315,7995,292,81,401.0,7500,1,5,20
509,16315,7995,292,81,399.0,7500,1,5,19
509,16315,7995,292,81,99.0,7500,1,5,19
509,16315,7995,292,81,449.0,7500,1,5,19
170,10222,5735,442,81,8.38,1500,1,6,10
170,10222,5735,442,81,8.44,1500,1,6,9
170,10222,5735,442,81,8.35,1500,1,6,10
170,10222,5735,442,81,8.27,1500,1,6,8
170,10222,5735,442,81,7.21,1500,1,6,8
170,10222,5735,442,81,7.88,1500,1,6,12
170,10222,5735,442,81,7.94,1500,1,6,11
170,10222,5735,442,81,7.38,1500,1,6,11
170,10222,5735,442,81,8.36,1500,1,6,11
170,10222,5735,442,81,7.47,1500,1,6,12
170,852,5968,826,1,18.96,1500,1,6,19
170,10222,5735,442,81,7.09,1500,1,4,4
170,10222,5735,442,81,7.59,1500,1,4,4
170,10222,5735,442,81,7.48,1500,1,4,4
203,29400,5499,826,81,85.03,1500,1,0,1
111,16518,5964,826,1,0.0,7500,1,0,8
111,4728,5311,826,81,556.8,7500,1,0,11
197,12921,4814,826,1,13.55,12500,1,2,9
111,4728,5311,826,81,536.88,8500,1,2,15
197,12921,4814,826,1,555.94,12500,1,3,10
709,16733,6540,40,81,215.0,14500,1,5,7
197,12921,4814,826,1,590.55,12500,1,5,10
45,26190,7841,840,81,0.0,1500,1,5,9
689,23070,5533,442,81,7.74,4500,1,0,16
689,29419,5251,826,81,44.96,4500,1,0,17
689,13745,5261,826,81,27.98,4500,1,3,10
558,9759,4814,826,1,90.26,1500,1,1,4
558,9759,4814,826,1,90.13,1500,1,5,0
558,9759,4814,826,1,90.24,1500,1,5,0
558,9759,4814,826,1,90.24,1500,1,5,0
261,10222,5735,442,81,1.5,8500,1,5,19
558,9759,4814,826,1,90.26,1500,1,6,21
529,9452,4814,826,1,19.0,1500,1,3,15
739,30591,5967,826,81,32.37,500,1,3,17
739,30591,5967,826,81,32.38,500,1,3,17
739,30591,5967,826,81,32.23,500,1,3,17
572,5686,5814,840,1,0.19,4500,1,4,2
572,27630,7995,826,81,9.0,4500,1,4,2
572,22304,5969,826,81,0.22,4500,1,4,2
572,10519,7995,292,81,9.0,4500,1,4,2
572,24974,7995,826,81,21.0,4500,1,4,5
572,18055,4812,826,81,0.96,4500,1,4,5
572,18885,7995,292,81,19.0,4500,1,4,5
572,10519,7995,292,81,11.0,4500,1,4,5
572,20256,7995,826,81,11.0,4500,1,4,5
572,20256,7995,826,81,9.0,4500,1,4,6
572,17991,7995,372,81,11.0,4500,1,4,6
572,24781,7995,292,81,9.0,4500,1,4,7
572,32085,7995,292,81,9.0,4500,1,4,6
572,8938,7273,826,81,29.97,4500,1,4,6
572,8938,7273,826,81,9.9,4500,1,4,7
572,8835,7392,826,81,29.0,4500,1,4,8
572,22806,7995,826,81,9.0,4500,1,4,8
572,1981,7995,292,81,11.0,4500,1,4,8
471,21966,7399,826,81,2.0,1500,1,2,13
471,19651,4812,826,81,1.01,1500,1,2,12
439,17695,6300,826,1,42.31,5500,1,2,12
657,1775,5698,840,1,3.45,10500,1,4,16
657,27630,7995,826,81,9.0,11500,1,4,16
657,18055,4812,826,81,0.96,10500,1,4,17
657,20256,7995,826,81,11.0,10500,1,4,17
520,20895,5733,826,81,1.06,1500,1,0,20
520,13359,7994,250,81,6.95,1500,1,0,21
520,13359,7994,250,81,6.86,1500,1,0,22
520,24875,4899,208,81,0.1,1500,1,0,22
520,24875,4899,208,81,2.0,1500,1,0,22
520,18416,5441,826,81,5.88,1500,1,0,22
520,13006,7372,196,81,12.89,1500,1,2,1
520,13006,7372,196,81,32.22,1500,1,2,0
520,30163,7841,826,81,0.04,1500,1,2,2
520,30163,7841,826,81,0.11,1500,1,2,2
520,24875,4899,208,81,0.12,1500,1,2,2
520,24875,4899,208,81,2.0,1500,1,2,2
329,15218,4816,196,81,39.06,14500,1,2,3
520,24875,4899,208,81,0.08,1500,1,2,14
520,24875,4899,208,81,2.0,1500,1,2,14
598,12025,4814,826,1,51.0,7500,1,1,0
80,7137,5969,826,1,55.12,500,1,1,23
471,26042,4511,404,81,508.62,1500,1,4,2
738,14912,5499,840,81,200.82,3500,1,0,4
738,14912,5499,840,81,186.44,3500,1,0,4
738,14912,5499,840,81,106.63,3500,1,0,4
738,13748,5698,840,1,0.72,3500,1,0,4
483,31593,5734,840,81,15.18,8500,1,5,15
483,31593,5734,840,81,15.15,8500,1,5,17
339,19263,5735,442,81,8.23,4500,1,0,3
339,232,8398,840,81,6.17,4500,1,0,16
339,26293,8398,840,81,15.54,4500,1,0,16
339,18035,5611,840,81,0.5,4500,1,0,16
339,18035,5611,840,81,90.35,4500,1,0,16
339,7485,5651,840,81,134.9,4500,1,0,17
339,6382,7299,372,81,173.66,4500,1,0,17
339,8885,4722,724,81,337.8,4500,1,0,17
339,19648,5967,840,81,22.73,4500,1,0,17
184,30189,4814,840,1,34.37,9500,1,2,16
184,30189,4814,840,1,34.24,9500,1,2,16
184,30189,4814,840,1,24.16,9500,1,2,15
738,26496,5997,840,1,1.52,4500,1,3,6
738,14912,5499,840,81,147.62,3500,1,3,6
184,30189,4814,840,1,51.26,9500,1,6,3
184,30189,4814,840,1,34.25,9500,1,6,3
622,19808,5967,826,81,0.0,500,1,4,0
622,20985,5967,826,81,90.0,500,1,4,0
47,12311,5968,840,81,17.4,3500,1,0,17
47,12311,5968,840,81,17.35,3500,1,0,19
253,10311,5999,442,81,0.62,5500,1,2,21
184,30189,4814,840,1,23.94,9500,1,3,5
492,17746,3144,826,1,3018.44,4500,1,3,10
253,10311,5999,442,81,0.63,5500,1,3,11
253,3136,5999,442,81,0.59,5500,1,3,11
184,30189,4814,840,1,34.19,9500,1,0,1
588,4863,4812,826,1,21.0,10500,1,2,23
253,10222,5735,442,81,1.56,5500,1,3,0
485,26000,6012,826,1,4901.0,8500,1,3,19
609,24579,5734,826,1,25.51,1500,1,1,8
460,30179,5311,826,81,59.0,1500,1,5,23
527,4728,5311,826,81,856.02,2500,1,6,13
527,19402,5310,826,81,473.93,3500,1,6,14
527,4013,5977,840,1,1.41,3500,1,6,14
527,4013,5998,840,1,2.57,3500,1,6,14
527,26496,5713,840,1,2.8,2500,1,6,14
527,3273,5940,840,1,1.26,3500,1,6,14
492,29956,5661,826,1,2.0,4500,1,6,14
184,30189,4814,840,1,41.3,9500,1,4,21
184,15248,5655,840,81,299.41,9500,1,4,22
253,10222,5735,442,81,1.58,5500,1,0,19
253,8561,5999,826,1,104.95,5500,1,0,21
253,8561,5999,826,1,105.04,5500,1,0,23
485,10377,8999,826,1,819.0,8500,1,2,23
588,28747,3246,826,81,119.36,10500,1,3,0
434,18531,5699,840,81,4.84,4500,1,1,9
434,8553,7299,826,81,40.0,4500,1,1,10
434,11758,5734,840,81,4.34,4500,1,1,10
434,11758,5734,840,81,4.37,4500,1,1,10
434,28766,5399,840,81,101.99,4500,1,1,9
434,488,5735,840,81,2.57,4500,1,1,9
434,488,5735,840,81,2.64,4500,1,1,9
434,488,5735,840,81,2.63,4500,1,1,9
434,11758,5734,840,81,4.32,4500,1,1,9
434,10117,5999,840,81,45.64,4500,1,1,9
434,10311,5999,442,81,0.57,4500,1,1,9
434,32679,5947,840,81,64.92,4500,1,1,9
434,21591,5734,840,81,4.34,4500,1,1,9
434,3420,4816,840,81,218.06,4500,1,1,9
434,18548,5967,826,81,99.94,4500,1,1,9
434,16454,5732,442,81,5.03,4500,1,1,9
434,30614,5967,840,81,11.84,4500,1,1,10
434,7762,5734,840,81,50.29,4500,1,1,10
434,8909,7311,372,81,6.35,4500,1,1,10
434,12793,5651,840,81,149.28,4500,1,1,9
434,22378,5399,480,81,96.18,4500,1,1,9
434,8909,7311,372,81,6.3,4500,1,1,9
434,10311,5999,442,81,0.66,4500,1,1,8
434,8909,7311,372,81,6.43,4500,1,1,8
434,3757,5399,840,81,63.97,4500,1,1,8
434,29435,5734,528,81,7.19,4500,1,1,8
434,31522,5942,724,81,423.9,4500,1,1,8
434,18531,5699,840,81,4.95,4500,1,1,8
434,32679,5947,840,81,64.89,4500,1,1,8
434,6104,8398,840,81,11.26,4500,1,1,8
434,9689,5732,372,81,269.91,4500,1,1,8
434,18887,5944,840,1,62.44,4500,1,1,9
434,9689,5732,372,81,269.95,4500,1,1,9
434,15935,5814,840,1,27.79,4500,1,1,8
434,10398,5735,826,81,37.12,4500,1,1,8
434,10715,8398,840,81,6.23,4500,1,1,8
434,11758,5734,840,81,4.39,4500,1,1,9
434,15935,5814,840,1,27.83,4500,1,1,9
434,16963,5950,840,1,1.56,4500,1,1,9
434,17742,5992,840,81,51.2,4500,1,1,9
434,6741,5967,372,81,1.22,4500,1,1,9
434,11017,5814,840,1,17.13,4500,1,1,10
434,10311,5999,442,81,0.64,4500,1,1,9
434,11017,5814,840,1,17.12,4500,1,1,10
434,27393,5691,840,81,78.04,4500,1,1,10
434,30484,5200,250,81,84.36,4500,1,1,10
434,11017,5814,840,1,9.58,4500,1,1,10
434,11017,5814,840,1,9.49,4500,1,1,10
434,7183,6012,616,0,0.42,4500,1,1,10
434,7183,6012,616,0,20.14,4500,1,1,10
434,10311,5999,442,81,0.74,4500,1,1,10
434,6690,4112,840,1,394.81,4500,1,1,10
434,11651,5732,372,81,2.0,4500,1,1,10
434,7142,5441,826,81,51.9,4500,1,1,10
434,2893,5732,372,81,846.93,4500,1,1,10
434,25160,5814,840,81,9.02,4500,1,1,10
434,25160,5814,840,81,8.94,4500,1,1,9
434,18297,8398,840,81,3.11,4500,1,1,9
434,11758,5734,840,81,4.37,4500,1,1,9
434,5393,8062,840,81,3.19,4500,1,1,9
434,11758,5734,840,81,4.39,4500,1,1,9
434,23303,5511,840,1,3.05,4500,1,1,9
434,10715,8398,840,81,6.37,4500,1,1,9
434,11758,5734,840,81,4.34,4500,1,1,10
434,10715,8398,840,81,6.27,4500,1,1,10
434,23444,7399,250,81,33.84,4500,1,1,10
434,11758,5734,840,81,4.4,4500,1,1,10
434,11758,5734,840,81,4.4,4500,1,1,10
434,11758,5734,840,81,4.38,4500,1,1,10
434,11758,5734,840,81,4.35,4500,1,1,10
434,15931,4511,724,1,457.02,4500,1,1,11
434,11758,5734,840,81,4.38,4500,1,1,10
434,15931,4511,724,1,445.06,4500,1,1,10
434,31731,7399,250,81,36.25,4500,1,1,10
434,7702,7399,250,81,80.4,4500,1,1,10
434,18417,5691,826,81,141.0,4500,1,1,11
434,30126,3381,250,81,94.81,4500,1,1,12
434,30126,3381,250,81,94.9,4500,1,1,11
434,30126,3381,250,81,94.88,4500,1,1,12
253,10222,5735,442,81,1.56,5500,1,1,12
434,11457,5969,840,81,3.08,4500,1,1,23
434,8553,7299,826,81,3.0,4500,1,1,23
253,7043,5310,826,1,403.87,5500,1,5,2
253,7043,5310,826,1,352.94,5500,1,5,3
253,7043,5310,826,1,406.91,5500,1,5,4
253,10222,5735,442,81,1.63,5500,1,5,4
253,12273,5732,826,1,439.01,5500,1,5,4
485,26000,6012,826,1,789.9,7500,1,5,5
485,26000,6012,826,1,789.87,7500,1,5,5
485,26000,6012,826,1,351.0,7500,1,5,5
253,14287,5940,826,81,186.97,5500,1,5,5
253,11859,5734,442,81,2.0,5500,1,5,5
253,17572,4814,826,1,20.81,5500,1,5,10
434,11457,5969,840,81,3.13,4500,1,5,10
434,28490,5969,840,1,8.07,4500,1,5,10
434,12726,5814,826,1,30.65,4500,1,5,19
349,8892,5968,442,81,50.0,1500,1,6,3
434,12726,5814,826,1,25.22,4500,1,6,4
434,19229,4814,826,1,31.0,4500,1,6,6
434,19229,4814,826,1,41.94,4500,1,6,7
434,23073,4812,826,81,2.0,4500,1,6,8
434,23073,4812,826,81,57.84,4500,1,6,14
434,11457,5969,840,81,3.11,4500,1,6,17
434,19229,4814,826,1,117.71,4500,1,4,6
448,20985,5967,826,81,0.0,500,1,4,12
448,19808,5967,826,81,88.0,500,1,4,13
434,12726,5814,826,1,38.14,4500,1,4,12
448,26499,5967,250,81,75.4,500,1,4,12
448,5495,5967,196,81,75.42,500,1,4,12
448,3408,5967,826,81,75.36,500,1,4,12
222,8111,5912,344,1,597.94,1500,1,4,17
222,8111,5912,344,1,597.94,1500,1,4,17
434,2984,5814,826,1,56.4,4500,1,0,18
434,2984,5814,826,1,54.43,4500,1,0,18
434,31551,5814,826,1,89.85,4500,1,0,18
448,19808,5967,826,81,88.0,500,1,0,20
62,17037,4722,826,1,2.0,1500,1,2,0
62,17037,4722,826,1,11.0,1500,1,2,0
62,17037,4722,826,1,0.0,1500,1,2,0
62,4989,3010,826,81,404.67,1500,1,2,0
434,19229,4814,826,1,41.79,4500,1,2,18
434,23073,4812,826,81,57.91,4500,1,2,20
713,14506,5719,840,1,4.44,2500,1,2,1
713,21695,5941,826,81,150.94,2500,1,2,4
713,21695,5941,826,81,168.94,2500,1,2,3
713,21695,5941,826,81,203.84,2500,1,2,4
713,21695,5941,826,81,48.93,2500,1,2,4
43,21984,6011,840,2,128.23,500,1,6,0
43,21984,6011,840,2,128.13,500,1,6,1
43,5022,5732,840,90,191.73,500,1,6,3
43,5022,5732,840,90,191.83,500,1,6,3
43,20338,5912,840,90,127.51,500,1,6,4
363,23121,4722,826,81,733.64,1500,1,4,8
363,12381,5969,36,81,1.21,1500,1,4,8
363,27183,4511,826,81,606.69,1500,1,4,8
363,12381,5969,36,81,1.22,1500,1,4,7
363,23121,4722,826,81,443.78,1500,1,4,8
363,18542,5967,470,81,26.38,1500,1,4,8
363,12381,5969,36,81,2.98,1500,1,4,8
363,12381,5969,36,81,5.9,1500,1,4,8
363,12381,5969,36,81,14.6,1500,1,4,8
363,12381,5969,36,81,58.84,1500,1,4,8
363,12381,5969,36,81,29.44,1500,1,4,8
363,12381,5969,36,81,14.61,1500,1,4,8
363,12381,5969,36,81,7.06,1500,1,4,8
363,12381,5969,36,81,3.48,1500,1,4,9
363,12381,5969,36,81,3.56,1500,1,4,8
363,12381,5969,36,81,1.77,1500,1,4,8
363,12381,5969,36,81,1.12,1500,1,4,8
363,27693,4816,840,81,0.67,1500,1,4,8
363,32798,5967,840,81,0.65,1500,1,4,8
363,27693,4816,840,81,0.58,1500,1,4,8
363,12010,5967,840,81,0.49,1500,1,4,8
363,29559,5967,372,81,0.0,1500,1,4,8
363,29559,5967,372,81,2.0,1500,1,4,8
363,24498,5941,840,1,0.82,1500,1,4,8
0,4480,5999,840,1,2.82,7500,1,3,6
140,7243,6051,826,1,712.27,7500,1,1,21
140,24716,6012,826,1,441.85,7500,1,1,22
566,18237,3381,380,1,37.29,10500,1,0,20
61,23977,5734,840,81,3.75,3500,1,6,12
61,5659,5734,826,81,42.31,3500,1,6,12
61,23977,5734,840,81,3.69,3500,1,6,12
61,22801,5969,36,81,34.88,3500,1,6,12
61,15606,5045,840,81,74.99,3500,1,6,12
61,23977,5734,840,81,9.42,3500,1,6,12
61,23977,5734,840,81,3.72,3500,1,6,12
61,8805,5399,840,81,70.07,3500,1,6,12
61,20590,4814,250,81,12.62,3500,1,6,12
61,28387,4816,372,81,19.0,3500,1,6,12
61,13694,5735,840,81,2.64,3500,1,6,12
61,17925,5621,36,81,62.26,3500,1,6,13
61,25538,8398,840,81,6.25,3500,1,6,13
61,13694,5735,840,81,4.7,3500,1,6,12
61,13694,5735,840,81,2.72,3500,1,6,12
61,10405,7372,840,81,0.0,3500,1,6,12
61,14931,7922,840,81,398.43,3500,1,6,13
61,13694,5735,840,81,1.94,3500,1,6,13
61,4962,5099,840,81,347.62,3500,1,6,13
61,13694,5735,840,81,5.91,3500,1,6,13
61,13694,5735,840,81,2.07,3500,1,6,13
61,12143,5965,840,81,593.0,3500,1,6,13
61,13694,5735,840,81,1.38,3500,1,6,13
61,13694,5735,840,81,2.02,3500,1,6,13
61,16699,5945,826,81,23.13,3500,1,6,13
61,31126,5812,376,1,32.2,3500,1,6,13
